dense_tensor_1,sparse_tensor_1,mu_bias_1,tensorHat_1
40.893,40.893,42.4611537888622,42.6134483466249
41.938,41.938,42.7257104023833,42.8991342724004
44.098,44.098,42.9023488867816,43.2550086873736
44.483,44.483,43.0244054624987,43.7141602233459
44.172,44.172,43.14690239075,43.8400961512454
44.416,44.416,43.2527844556937,44.2572527458081
43.622,43.622,43.4147602701559,44.5123671850932
44.202,44.202,43.428289911349,44.6297994560308
42.898,42.898,43.5198515552599,44.8344223340077
44.123,44.123,43.7487945011139,45.206401415737
46.065,46.065,43.7818988824247,45.4357748152835
46.248,46.248,43.916739108057,45.3648938913683
48.178,48.178,43.9162790441741,45.5546544240159
44.784,44.784,43.9807358411103,45.5322692553477
47.869,47.869,44.0966677741883,45.7498027215964
48.299,48.299,44.0266487306525,45.7793371125736
46.496,46.496,44.0822819792644,46.0127885133318
47.89,47.89,44.1182105796951,46.1731301542238
47.712,47.712,44.0084853756014,46.0391031634715
48.639,48.639,44.0894762523657,46.0729892456151
46.916,46.916,44.0057855852562,45.9905874165131
47.794,47.794,43.9717320900438,46.0118403499047
47.246,47.246,43.7966059458747,45.9563364572481
46.829,46.829,43.9946786914657,46.2521410263487
47.541,47.541,43.9327224397557,45.9921027460403
46.278,46.278,43.9624306581568,45.9489367878655
44.318,44.318,44.1185770433912,46.2362113374312
44.65,44.65,43.8737769714483,45.885741430085
47.947,47.947,43.7131032242393,45.6697876911667
46.688,46.688,43.568722796678,45.6924505289834
48.281,48.281,43.3667898344575,45.3713127262654
45.816,45.816,43.3269142007989,44.8690511700186
44.747,44.747,43.1392856338883,44.6746656156955
45.559,45.559,43.001186964566,44.4976418097276
44.754,44.754,42.8581357223407,44.2939470127608
45.353,45.353,43.0604857911901,44.5786154823903
44.589,44.589,42.331497937361,43.9738512274927
45.51,45.51,42.2163713807509,43.6721141412801
45.305,45.305,42.1350142074234,43.4796327604444
42.882,42.882,42.0308261618766,43.0971999703199
42.365,42.365,41.7643049270902,42.2489874182139
42.37,42.37,41.2871805704634,41.527604908449
40.648,40.648,40.6417522670284,40.8984434505105
40.016,40.016,40.3221305523196,40.2573839992836
40.286,40.286,40.136630772572,39.4535180873217
38.715,38.715,40.203890526767,38.9508897204939
38.138,38.138,40.0660505314161,37.9917432111624
39.105,39.105,39.6545908864827,36.9885637189875
41.044,41.044,39.5528590797809,36.7142766468354
39.536,39.536,39.4558340611302,36.533192757228
41.241,41.241,39.6560444686496,36.9009397139447
38.66,38.66,39.5306504661035,36.8444878881601
38.73,38.73,39.2439550782776,36.7816740221898
37.736,37.736,38.9412099302438,36.7125927316747
38.306,38.306,38.6500390490671,36.2747722299425
36.882,36.882,38.3351631004116,35.482962259068
37.218,37.218,38.1994171306353,34.9390370845362
36.226,36.226,37.9228432902202,34.150941749603
36.801,36.801,37.8297552803003,33.7203718236628
34.319,34.319,37.699906054163,33.1092634956752
32.671,32.671,37.3303683343126,32.6572259280562
34.082,34.082,37.0610532036483,32.2372875442034
35.357,35.357,37.0969122486112,32.2300613086506
36.12,36.12,37.1681662120108,32.3760623283376
35.044,35.044,37.2901840189231,32.3025547401993
36.44,36.44,37.4420406140994,32.5107211883232
37.393,37.393,37.4903638341042,32.8112213147685
34.946,34.946,37.7370048083211,33.4001438696998
37.187,37.187,37.9652773529809,33.6201444912011
36.408,36.408,38.13910001433,34.0227272310181
36.588,36.588,38.2739366684687,34.3724319649222
35.396,35.396,38.3942683692856,34.9322564909692
32.497,32.497,38.6175841931966,35.4263729863223
29.055,29.055,38.7746022619899,35.8148866707937
27.175,27.175,38.9004772640826,35.8654406590751
23.557,23.557,39.0711196302529,36.4641501460199
21.773,21.773,39.0787939367775,36.8214630511379
22.388,22.388,39.3558571517145,37.4579977840251
20.763,20.763,39.4480650990386,37.7596498192189
22.082,22.082,39.3610629112308,37.6216114593942
36.515,36.515,39.1513801778807,37.0997788208052
38.376,38.376,38.852037567439,36.9481216938019
35.54,35.54,38.8331856748859,36.4348208089852
37.136,37.136,38.7487104165956,36.1834585879661
37.31,37.31,38.482440829186,35.5692837626694
36.394,36.394,38.4089815152279,35.0058664121698
36.656,36.656,38.3949464710851,34.4501010568069
38.213,38.213,38.35838752858,34.1394849739647
35.749,35.749,38.5055391629705,33.7710866269212
34.375,34.375,38.3117017778922,33.3342120656653
33.514,33.514,38.2713894087307,33.0964413341889
33.351,33.351,38.0979561951021,32.4446060167771
30.96,30.96,37.8319745083933,31.8444701902222
26.948,26.948,37.8114556384369,31.1462099526667
27.638,27.638,37.6552508419779,30.209334973231
25.905,25.905,37.3807657009419,29.1058954807636
22.593,22.593,37.3171285447955,28.5051691450136
24.624,24.624,37.0234932084083,27.5080428813153
24.927,24.927,36.812089570079,26.5312634226508
18.884,18.884,36.8902739274137,25.7527527250994
21.257,21.257,36.7322787564934,25.2040752393455
17.959,17.959,36.7174327886126,24.6794598337954
15.879,15.879,36.6246182021436,24.1033684318267
16.916,16.916,36.0940602166864,23.0426949766905
16.717,16.717,35.8430228494734,22.0278356594095
16.188,16.188,35.8401999301904,21.1455759024597
15.68,15.68,35.40622428206,19.8913272257705
13.803,13.803,35.1931797136266,18.7174941820565
15.97,15.97,35.3793041618865,18.1779197905736
17.82,17.82,35.3618909971901,17.4881860637191
15.691,15.691,35.2652458433652,16.5500485311315
15.551,15.551,35.6014735883591,16.2419340098588
13.336,13.336,35.8304932807826,16.0732492563249
14.972,14.972,36.13165496337,16.164851749722
18.036,18.036,36.3247691293636,16.7524870178552
18.598,18.598,36.4628139087232,17.5195272841838
17.18,17.18,36.578052065815,18.5159272573989
15.307,15.307,36.6608773324547,20.0850305352011
14.418,14.418,36.4415659182728,21.6749024334657
14.81,14.81,36.3453112880269,23.2120014255807
12.735,12.735,36.4101796444133,24.8988869435717
14.367,14.367,36.6382096416518,26.3990743894956
16.308,16.308,36.9701838009933,27.8141673588391
15.709,15.709,37.1170883155797,28.8654243175391
18.998,18.998,37.2337303410203,29.4878412474934
23.036,23.036,37.3875192392808,30.357668077355
22.51,22.51,37.9597664438174,31.423329221294
20.305,20.305,38.3986130232736,32.3965201593196
25.467,25.467,38.6780744669545,32.7149107780187
22.554,22.554,39.0634399718364,33.2413334907024
23.121,23.121,39.2766121561734,33.4889662179563
27.242,27.242,39.410376755985,33.7068401654677
33.71,33.71,39.7162385661099,34.3069950238136
37.18,37.18,39.8537617465581,34.4856394110929
31.811,31.811,39.9554475516819,34.9067416493232
26.14,26.14,40.1825566015367,35.3454375545668
22.492,22.492,40.2885152291455,36.4269362492185
27.214,27.214,40.60924461636,37.2391266009218
38.134,38.134,40.8934251804286,38.0278193141394
37.495,37.495,41.1467575513526,38.967095607784
39.708,39.708,41.537058203326,39.968530184538
42.349,42.349,41.776525737973,40.6625044248142
43.062,43.062,41.8626259889156,41.235044650452
43.246,43.246,42.0546232946139,41.7553596022408
41.227,0,42.9981904891698,43.396444440255
45.891,0,43.2627471026909,43.650757557205
42.333,0,43.4393855870892,43.838873478519
40.594,0,43.5614421628063,43.9997053455935
43.693,0,43.6839390910577,44.1555444034438
45.437,0,43.7898211560013,44.3175805283578
46.625,0,43.9517969704635,44.5066659755041
46.277,0,43.9653266116567,44.5893688911046
44.902,0,44.0568882555676,44.7006892713563
47.275,0,44.2858312014215,44.9709817890083
47.149,0,44.3189355827324,45.0149788545809
46.059,0,44.4537758083647,45.1723185339298
46.939,0,44.4533157444817,45.1439154077209
45.74,0,44.517772541418,45.1847908557531
44.926,0,44.633704474496,45.3308053616091
43.763,0,44.5636854309601,45.2995687823453
46.104,0,44.619318679572,45.3592686122196
43.089,0,44.6552472800028,45.4180725081178
45.413,0,44.5455220759091,45.3235104143804
43.383,0,44.6265129526733,45.3781694194478
46.425,0,44.5428222855639,45.2820089918641
44.89,0,44.5087687903514,45.2709554723732
45.632,0,44.3336426461824,45.1148541158911
46.092,0,44.5317153917734,45.3189018328829
42.286,0,44.4697591400634,45.2270761672463
42.402,0,44.4994673584644,45.2771111261925
41.845,0,44.6556137436989,45.4166189363267
40.941,0,44.410813671756,45.1708803796554
43.286,0,44.2501399245469,45.0113967382667
44.262,0,44.1057594969856,44.9097020945518
43.996,0,43.9038265347651,44.6576379427612
40.476,0,43.8639509011065,44.5029703059394
40.978,0,43.676322334196,44.39126793964
39.723,0,43.5382236648737,44.2471014478279
44.069,0,43.3951724226483,44.0869082217504
43.804,0,43.5975224914977,44.378824638416
42.1,0,42.8685346376686,43.7767635802241
45.18,0,42.7534080810586,43.613891515679
42.59,0,42.6720509077311,43.4984282952631
40.249,0,42.5678628621843,43.3315177245418
42.567,0,42.3013416273979,42.971628388212
41.739,0,41.8242172707711,42.496194073074
40.74,0,41.178788967336,41.9232662692536
